dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,fabricapelotas,planta,Color,1,varchar,50,"PRIMARY KEY",NULL,NULL,NULL
mysql,fabricapelotas,planta,Proceso,3,varchar,50,NULL,NULL,NULL,NULL
mysql,fabricapelotas,planta,Superficie,2,decimal,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,categoria,descripcion,3,text,65535,NULL,NULL,NULL,NULL
mysql,gestionventas,categoria,ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,gestionventas,categoria,nombre,2,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,cliente,CUIT,1,varchar,15,"PRIMARY KEY",NULL,NULL,NULL
mysql,gestionventas,cliente,direccion,3,int,NULL,"FOREIGN KEY",gestionventas,direccioncl,ID
mysql,gestionventas,cliente,nombre,2,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,contacto,cliente_CUIT,3,varchar,15,"FOREIGN KEY",gestionventas,cliente,CUIT
mysql,gestionventas,contacto,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,gestionventas,contacto,telefono,2,varchar,15,NULL,NULL,NULL,NULL
mysql,gestionventas,detalleventa,cantidad_vendida,3,int,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,detalleventa,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,gestionventas,detalleventa,monto_total,4,decimal,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,detalleventa,precio_venta,2,decimal,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,detalleventa,producto_ID,6,int,NULL,"FOREIGN KEY",gestionventas,producto,ID
mysql,gestionventas,detalleventa,venta_numero_factura,5,int,NULL,"FOREIGN KEY",gestionventas,venta,numero_factura
mysql,gestionventas,direccioncl,calle,2,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,direccioncl,ciudad,5,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,direccioncl,comuna,4,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,direccioncl,ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,gestionventas,direccioncl,numero,3,int,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,direccionpr,calle,2,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,direccionpr,ciudad,5,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,direccionpr,comuna,4,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,direccionpr,ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,gestionventas,direccionpr,numero,3,int,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,producto,categoria_ID,6,int,NULL,"FOREIGN KEY",gestionventas,categoria,ID
mysql,gestionventas,producto,ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,gestionventas,producto,nombre,2,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,producto,precio_actual,3,decimal,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,producto,proveedor_CUIT,5,varchar,15,"FOREIGN KEY",gestionventas,proveedor,CUIT
mysql,gestionventas,producto,stock,4,int,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,proveedor,CUIT,1,varchar,15,"PRIMARY KEY",NULL,NULL,NULL
mysql,gestionventas,proveedor,direccion_id,5,int,NULL,"FOREIGN KEY",gestionventas,direccionpr,ID
mysql,gestionventas,proveedor,nombre,2,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,proveedor,pagina_web,4,varchar,255,NULL,NULL,NULL,NULL
mysql,gestionventas,proveedor,telefono,3,varchar,15,NULL,NULL,NULL,NULL
mysql,gestionventas,venta,cliente_CUIT,3,varchar,15,"FOREIGN KEY",gestionventas,cliente,CUIT
mysql,gestionventas,venta,descuento,4,decimal,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,venta,fecha,2,date,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,venta,monto_final,5,decimal,NULL,NULL,NULL,NULL,NULL
mysql,gestionventas,venta,numero_factura,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sys,sys_config,set_by,4,varchar,128,NULL,NULL,NULL,NULL
mysql,sys,sys_config,set_time,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sys,sys_config,value,2,varchar,128,NULL,NULL,NULL,NULL
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
